Subject,Intervention,Day,Trial,Timer,startTime,finishTime,fixID,Position,Distance,shotFired
1,0,1,1,7.05,7.685,8.722,B,2,5,0
1,0,1,1,7.05,8.79,9.419,A,1,5,0
1,0,1,1,7.05,9.47,13.006,B,2,5,1
1,0,1,1,7.05,13.074,15.947,C,3,7,0
1,0,1,1,7.05,15.981,17.834,D,4,9,0
1,0,1,1,7.05,17.868,18.769,C,3,7,0
1,0,1,1,7.05,18.837,20.333,D,4,9,0
1,0,1,2,3.58,4.331,4.654,B,1,7,0
1,0,1,2,3.58,4.756,4.943,C,2,5,0
1,0,1,2,3.58,5.038,6.024,B,1,7,0
1,0,1,2,3.58,6.347,6.585,D,4,7,0
1,0,1,2,3.58,6.67,6.925,A,3,9,0
1,0,1,2,3.58,6.959,7.248,A,3,9,0
1,0,1,2,3.58,7.316,7.503,C,2,5,0
1,0,1,2,3.58,7.962,8.693,C,2,5,0
1,0,1,2,3.58,8.778,9.407,B,1,7,0
1,0,1,2,3.58,9.475,12.994,C,2,5,0
1,0,1,3,4.11,4.31,4.667,B,1,9,0
1,0,1,3,4.11,4.733,4.937,D,2,9,0
1,0,1,3,4.11,5.056,6.042,C,3,5,0
1,0,1,3,4.11,6.688,7.504,A,4,7,0
1,0,1,3,4.11,7.776,8.694,A,5,7,0
1,0,1,3,4.11,8.779,9.408,C,3,5,0
1,0,1,3,4.11,9.476,12.995,A,4,7,1
1,0,1,3,4.11,13.063,15.919,C,3,5,0
1,0,1,3,4.11,16.004,17.823,A,4,7,0
1,0,1,4,8.39,8.763,9.409,A,3,7,0
1,0,1,4,8.39,9.477,12.996,B,4,5,0
1,0,1,4,8.39,13.064,14.22,B,4,5,1
1,0,1,4,8.39,14.424,17.79,D,2,9,1
1,0,1,4,8.39,17.863,18.764,C,1,7,0
1,0,1,4,8.39,18.832,20.328,A,3,7,0
1,0,1,4,8.39,20.396,20.77,B,4,5,0
1,0,1,5,46.15,48.012,50.851,C,3,9,0
1,0,1,5,46.15,51.786,52.806,B,4,9,0
1,0,1,5,46.15,55.016,57.022,D,1,7,1
1,0,1,6,30.98,31.354,32.051,B,4,4,0
1,0,1,6,30.98,33.581,33.768,D,2,7,0
1,0,1,6,30.98,33.955,34.431,C,2,9,0
1,0,1,6,30.98,34.635,34.958,C,2,9,0
1,0,1,6,30.98,35.995,36.301,A,1,5,0
1,0,1,6,30.98,36.471,37.185,D,3,7,0
1,0,1,6,30.98,37.219,37.423,A,1,5,0
1,0,1,6,30.98,37.729,38.001,D,3,7,0
1,0,1,6,30.98,38.358,38.613,C,2,9,0
1,0,1,6,30.98,38.749,39.446,B,4,5,0
1,0,1,7,38.96,39.012,39.216,D,2,5,0
1,0,1,7,38.96,40.449,40.738,D,2,5,0
1,0,1,7,38.96,40.925,41.316,B,4,7,0
1,0,1,7,38.96,41.605,41.894,A,3,9,0
1,0,1,7,38.96,42.132,43.05,C,1,9,0
1,0,1,7,38.96,43.373,43.628,D,2,5,0
1,0,1,7,38.96,43.866,44.257,A,3,9,0
1,0,1,7,38.96,44.614,44.903,A,3,9,0
1,0,1,7,38.96,45.345,45.566,B,4,7,0
1,0,1,8,24.32,24.817,25.259,B,2,5,0
1,0,1,8,24.32,25.361,26.058,C,1,5,0
1,0,1,8,24.32,26.279,26.517,D,3,7,0
1,0,1,8,24.32,26.653,29.203,D,3,7,1
1,0,1,9,31.37,31.541,32,D,2,5,0
1,0,1,9,31.37,32.34,32.595,A,1,7,0
1,0,1,9,31.37,32.748,34.414,D,2,5,1
1,0,1,10,32.47,32.555,32.759,B,2,9,0
1,0,1,10,32.47,32.895,33.116,C,3,5,1
1,0,1,10,32.47,33.269,33.677,B,2,9,0
1,0,1,10,32.47,33.745,34.034,D,4,7,0
1,0,1,10,32.47,34.272,35.581,C,3,5,0
1,1,2,1,55.92,56.326,56.547,A,3,7,0
1,1,2,1,55.92,56.598,56.904,B,2,5,0
1,1,2,1,55.92,58.06,58.995,C,4,5,1
1,1,2,2,8.25,9.052,9.545,C,2,5,0
1,1,2,2,8.25,9.647,10.004,A,1,7,0
1,1,2,2,8.25,10.259,10.582,B,4,9,0
1,1,2,2,8.25,10.65,10.905,D,3,7,0
1,1,2,3,26.87,27.106,27.361,D,3,5,0
1,1,2,3,26.87,27.446,27.633,A,2,9,0
1,1,2,3,26.87,27.701,28.007,B,4,9,0
1,1,2,3,26.87,28.126,29.384,A,2,9,1
1,1,2,4,29.04,29.602,29.874,A,2,5,0
1,1,2,4,29.04,30.18,30.639,A,2,5,0
1,1,2,4,29.04,30.741,32.611,D,1,5,1
1,1,2,4,29.04,33.274,33.988,A,2,5,1
1,1,2,4,29.04,34.872,36.011,B,4,7,1
1,1,2,5,35.4,35.941,36.23,A,3,7,0
1,1,2,5,35.4,36.315,36.774,B,4,7,0
1,1,2,5,35.4,36.842,37.998,A,3,7,1
1,1,2,5,35.4,38.287,39.987,B,4,7,1
1,1,2,6,32.7,33.021,33.344,A,2,5,0
1,1,2,6,32.7,33.395,33.667,B,1,7,0
1,1,2,6,32.7,33.735,34.075,D,3,9,0
1,1,2,6,32.7,34.194,34.602,C,4,9,0
1,1,2,6,32.7,34.687,34.959,D,3,9,0
1,1,2,6,32.7,35.044,35.367,A,2,5,0
1,1,2,6,32.7,35.401,35.758,B,1,7,0
1,1,2,7,14.46,14.713,14.951,A,3,5,0
1,1,2,7,14.46,15.053,15.325,D,2,5,0
1,1,2,7,14.46,15.342,15.597,B,1,9,0
1,1,2,7,14.46,15.801,16.379,C,4,7,0
1,1,2,8,33.05,33.283,33.521,C,2,7,0
1,1,2,8,33.05,33.589,33.912,A,1,5,0
1,1,2,8,33.05,34.099,34.371,D,3,9,0
1,1,2,8,33.05,34.439,36.224,B,4,9,0
1,1,2,9,28.97,29.346,29.618,D,3,9,0
1,1,2,9,28.97,29.703,29.873,B,2,7,0
1,1,2,9,28.97,29.941,30.145,A,1,5,0
1,1,2,9,28.97,30.213,31.743,B,2,7,1
1,1,2,9,28.97,32.872,35.524,C,4,5,1
1,1,2,10,37.35,37.79,38.011,A,3,5,0
1,1,2,10,37.35,38.062,40.935,D,4,7,1
1,1,2,10,37.35,41.904,42.431,C,2,9,0
1,1,2,10,37.35,42.516,43.077,B,1,7,0
1,2,3,1,26.17,25.388,25.677,C,2,7,0
1,2,3,1,26.17,25.762,26.034,D,1,5,0
1,2,3,1,26.17,26.153,26.493,B,3,7,0
1,2,3,1,26.17,26.561,27.071,A,4,9,0
1,2,3,2,9.05,9.406,9.712,D,3,9,0
1,2,3,2,9.05,10.324,11.616,B,2,9,1
1,2,3,3,23.92,24.327,24.616,D,2,7,0
1,2,3,3,23.92,24.701,24.888,B,1,7,0
1,2,3,3,23.92,25.092,27.37,C,3,9,1
1,2,3,4,32.16,32.446,32.633,D,2,5,0
1,2,3,4,32.16,33.109,34.452,D,2,5,1
1,2,3,4,32.16,34.979,35.574,C,1,9,0
1,2,3,4,32.16,36.067,37.155,A,4,7,1
1,2,3,5,38.69,39.078,39.265,A,3,7,0
1,2,3,5,38.69,39.367,41.407,C,2,5,1
1,2,3,5,38.69,41.747,42.121,D,1,7,0
1,2,3,5,38.69,42.631,44.518,B,4,9,1
1,2,3,6,37.55,37.987,38.225,D,3,5,0
1,2,3,6,37.55,38.293,38.582,B,2,5,0
1,2,3,6,37.55,38.735,40.911,D,3,5,1
1,2,3,7,33.21,33.425,33.697,A,3,9,0
1,2,3,7,33.21,33.768,33.989,D,2,7,0
1,2,3,7,33.21,34.533,35.145,C,4,9,0
1,2,3,8,31.32,31.711,31.949,B,2,7,0
1,2,3,8,31.32,32.102,32.476,C,1,5,0
1,2,3,8,31.32,32.731,32.918,D,3,9,0
1,2,3,8,31.32,33.088,34.329,A,4,5,1
1,2,3,9,28.86,29.265,29.503,D,3,5,0
1,2,3,9,28.86,29.588,30.013,B,4,9,0
