Subject,Intervention,Day,Trial,Timer,tHandGun,tDrawn,tGunReady,tOnTrigger,tShot1,tOffTrigger,tOnTrigger2,tShot2
1,0,1,1,31.971,33.710,34.399,35.120,35.399,37.392,43.567,,
1,0,1,2,121.768,122.576,123.755,124.478,,,,,
1,0,1,3,186.550,187.155,188.870,189.755,190.152,192.874,193.755,,
1,0,1,4,255.059,255.518,256.672,257.272,257.511,260.139,261.471,262.268,262.785
1,0,1,5,338.065,338.710,339.594,340.353,340.828,342.596,343.951,345.513,
1,0,1,6,415.837,416.397,417.555,418.312,,,,,
1,0,1,7,485.217,485.872,486.958,487.557,,,,,
1,0,1,8,537.588,538.193,538.912,539.634,540.400,542.068,542.921,,
1,0,1,9,599.721,600.273,600.915,601.513,602.595,603.033,603.333,603.333,604.351
1,0,1,10,660.901,661.512,662.473,663.077,663.232,663.741,664.597,,
2,0,1,1,68.888,70.360,71.074,71.594,71.906,72.440,72.633,,
2,0,1,2,171.211,171.875,172.754,173.277,,,,,
2,0,1,3,235.028,235.637,236.592,237.192,238.800,239.357,239.719,,
2,0,1,4,294.731,294.992,295.771,296.315,296.717,296.916,297.118,299.517,299.635
2,0,1,5,381.143,381.757,382.607,383.154,385.797,386.232,386.398,,
2,0,1,6,452.658,453.038,453.913,454.439,,,,,
2,0,1,7,497.362,498.995,499.519,501.472,,,,,
2,0,1,8,544.012,544.633,545.431,545.913,548.155,548.504,548.872,,
2,0,1,9,607.477,607.948,608.792,609.275,609.719,610.478,610.674,612.148,612.472
2,0,1,10,676.926,677.157,678.914,679.477,680.954,681.353,681.553,,
3,0,1,1,40.581,41.717,42.312,42.872,43.081,43.997,45.120,,
3,0,1,2,111.022,,,,,,,,
3,0,1,3,162.825,163.595,165.075,165.554,165.554,166.348,167.798,,
3,0,1,4,218.279,220.793,222.076,222.637,222.637,222.994,224.352,224.352,224.352
3,0,1,5,306.641,308.796,309.197,309.679,309.679,310.276,311.433,311.433,311.433
3,0,1,6,363.453,364.589,,,,,,,
3,0,1,7,401.543,,,,,,,,
3,0,1,8,461.814,463.602,464.312,464.798,464.798,465.239,466.718,,
3,0,1,9,516.192,517.758,518.193,518.719,518.719,519.238,522.673,525.233,525.640
3,0,1,10,590.123,592.091,593.150,593.557,593.557,594.074,595.154,,
4,0,1,1,26.890,27.350,29.278,30.038,30.038,31.070,35.072,35.072,35.072
4,0,1,2,107.804,108.233,109.318,109.991,109.991,111.672,111.924,,
4,0,1,3,165.160,165.674,166.400,166.995,166.995,168.359,168.680,,
4,0,1,4,239.824,240.366,241.199,241.793,241.793,243.237,243.237,243.237,245.037
4,0,1,5,321.511,321.713,322.157,322.682,322.682,324.316,328.276,,
4,0,1,6,393.344,393.839,394.317,394.878,,,,,
4,0,1,7,437.298,437.713,438.597,439.117,,,,,
4,0,1,8,481.565,481.954,482.433,482.916,482.916,484.520,484.520,484.520,486.116
4,0,1,9,539.338,539.796,540.432,540.953,540.953,541.674,541.674,541.674,543.076
4,0,1,10,607.789,608.278,608.873,609.388,609.388,611.315,613.196,0.000,
5,0,1,1,27.993,29.354,30.633,31.153,31.354,31.787,32.199,36.109,
5,0,1,2,89.400,91.475,,,,,,,
5,0,1,3,203.148,206.392,207.518,208.154,208.993,209.554,209.875,,
5,0,1,4,262.964,264.234,265.798,266.388,266.388,267.118,267.558,271.560,272.593
5,0,1,5,327.397,335.915,336.919,337.237,337.677,337.996,338.241,,
5,0,1,6,397.054,398.513,,,,,,,
5,0,1,7,436.760,439.158,,,,,,,
5,0,1,8,479.286,481.346,482.192,482.752,482.994,484.033,484.360,,
5,0,1,9,531.643,532.427,533.065,533.553,533.553,534.674,534.835,538.754,85.975
5,0,1,10,592.335,595.565,597.031,597.594,597.594,598.695,599.351,0.000,0.000
6,0,1,1,15.883,16.311,18.993,19.547,19.547,19.976,19.976,19.976,22.523
6,0,1,2,81.585,82.871,83.673,84.234,84.234,84.425,88.113,,
6,0,1,3,138.198,139.235,139.876,140.352,140.352,140.558,140.558,140.558,142.078
6,0,1,4,202.343,203.836,204.313,204.671,204.671,205.027,206.117,207.160,207.514
6,0,1,5,295.569,295.998,296.796,297.357,297.357,298.275,299.872,300.117,300.637
6,0,1,6,360.592,361.554,363.482,363.992,363.992,364.958,366.515,,
6,0,1,7,432.903,433.793,435.073,435.719,435.719,436.311,438.832,,
6,0,1,8,505.050,505.436,506.517,507.272,507.272,507.437,507.437,507.437,509.758
6,0,1,9,598.159,598.755,600.436,601.272,601.272,602.273,603.114,604.990,605.555
6,0,1,10,672.660,673.872,674.554,675.118,675.118,675.985,676.993,,
7,0,1,1,33.683,35.283,35.637,36.269,36.549,37.074,40.917,,
7,0,1,2,82.894,83.356,84.677,85.637,85.637,,,,
7,0,1,3,129.331,129.798,130.559,131.192,131.192,,,,
7,0,1,4,181.261,181.677,183.314,183.831,184.833,187.233,187.713,188.601,189.316
7,0,1,5,241.799,242.198,242.920,243.476,244.306,244.679,245.036,,
7,0,1,6,306.850,307.201,308.230,308.870,,,,,
7,0,1,7,349.341,349.679,350.839,351.356,,,,,
7,0,1,8,396.663,396.998,398.394,398.956,400.034,400.343,400.676,,
7,0,1,9,449.840,450.316,452.111,452.714,452.997,453.273,453.273,453.273,455.117
7,0,1,10,514.160,514.554,515.879,516.429,517.872,518.076,519.033,,
1,1,2,1,15.943,16.356,17.512,18.314,18.314,18.997,21.054,,
1,1,2,2,100.485,100.830,102.073,102.675,,,,,
1,1,2,3,154.428,154.878,155.878,156.434,156.434,157.076,160.357,,
1,1,2,4,209.165,209.958,211.270,211.835,211.835,212.754,212.754,212.754,214.085
1,1,2,5,274.823,275.235,276.197,276.752,276.752,277.474,277.474,277.474,279.470
1,1,2,6,337.099,337.474,338.392,338.999,,,,,
1,1,2,7,375.565,375.959,377.117,377.802,,,,,
1,1,2,8,431.971,432.482,433.438,433.919,434.117,435.273,436.786,,
1,1,2,9,490.434,490.793,491.796,492.359,492.359,493.239,493.239,493.239,496.999
1,1,2,10,557.049,557.428,558.433,559.040,559.040,560.649,565.636,,
2,1,2,1,20.830,21.551,22.319,22.758,24.680,25.080,25.873,,
2,1,2,2,111.717,112.076,112.992,113.514,,,,,
2,1,2,3,160.332,161.038,161.997,162.355,162.641,162.928,164.074,,
2,1,2,4,217.457,217.840,219.112,219.559,219.717,220.354,220.354,220.354,222.017
2,1,2,5,277.754,278.160,279.149,279.876,280.317,281.072,281.072,281.072,283.194
2,1,2,6,337.928,338.274,339.712,340.708,,,,,
2,1,2,7,402.236,403.716,404.315,404.473,,,,,
2,1,2,8,453.436,453.999,455.237,455.755,456.746,457.278,458.665,,
2,1,2,9,508.736,509.107,510.035,510.509,510.754,510.976,512.115,512.688,513.117
2,1,2,10,568.817,569.115,569.919,570.240,571.236,571.796,572.715,,
3,1,2,1,34.655,35.395,36.639,37.115,37.115,37.356,39.079,,
3,1,2,2,88.618,89.197,,,,,,,
3,1,2,3,137.596,138.192,139.317,139.753,139.753,140.067,141.957,,
3,1,2,4,190.977,191.837,192.479,192.958,192.958,193.017,193.788,,
3,1,2,5,251.639,252.158,253.313,253.313,253.313,253.479,253.479,253.479,254.316
3,1,2,6,309.612,310.433,,,,,,,
3,1,2,7,343.799,344.675,,,,,,,
3,1,2,8,392.454,394.517,394.872,395.353,395.353,395.598,397.474,,
3,1,2,9,451.964,452.515,453.437,453.954,453.954,454.237,454.237,454.237,455.433
3,1,2,10,511.468,512.234,513.834,514.227,514.227,514.548,516.154,,
4,1,2,1,7.296,7.759,8.800,9.400,9.400,10.976,10.976,10.976,12.719
4,1,2,2,20.968,21.515,22.073,22.555,22.555,,,,
4,1,2,3,68.784,69.197,69.751,70.198,70.198,71.957,72.316,72.596,
4,1,2,4,122.171,122.516,123.272,123.876,123.876,124.439,125.435,128.992,130.211
4,1,2,5,192.953,193.396,194.076,194.552,194.552,196.599,196.599,196.599,198.120
4,1,2,6,248.391,248.705,249.275,249.711,249.711,,,,
4,1,2,7,,,,,,,,,
4,1,2,8,,,,,,,,,
4,1,2,9,,,,,,,,,
4,1,2,10,,,,,,,,,
5,1,2,1,48.195,49.314,50.753,51.196,51.196,51.918,52.193,,
5,1,2,2,98.931,100.839,,,,,,,
5,1,2,3,141.484,142.756,143.635,144.025,144.025,144.914,145.149,,
